CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,03/17/2025 02:10:00 PM,25-012120,VANDALISM-$400+,77X,8TH AVE AND CLINTO LN,Oakland,CA,
PETTY THEFT,03/17/2025 07:00:00 AM,25-012218,THEFT,30X,2427 68TH AV,Oakland,CA,POINT (-122.18566 37.76508)
PETTY THEFT,04/07/2025 12:00:00 AM,25-012374,THEFT,77X,UNKNOWN,Oakland,CA,
PETTY THEFT,03/19/2025 11:30:00 PM,25-012505,THEFT,26X,789 54TH AV,Oakland,CA,POINT (-122.2106 37.76353)
PETTY THEFT,03/18/2025 12:00:00 PM,25-012784,THEFT,20X,3020 E 18TH ST,Oakland,CA,POINT (-122.22443 37.78225)
PETTY THEFT,03/24/2025 07:00:00 PM,25-013260,THEFT,20X,2880 E 16TH ST,Oakland,CA,POINT (-122.22677 37.78053)
MISDEMEANOR ASSAULT,03/28/2025 12:39:00 PM,25-013803,ASSAULT,99X,1195 MIDDLE HARBOR RD,Oakland,CA,POINT (-122.29205 37.79905)
VANDALISM,03/28/2025 07:50:00 PM,25-013862,VANDALISM,18X,1912 16TH AV,Oakland,CA,POINT (-122.24072 37.79198)
FELONY ASSAULT,03/29/2025 11:50:00 AM,25-014051,CRUELTY TO ANIMALS,28X,4320 ALLENDALE AV,Oakland,CA,POINT (-122.20214 37.78294)
PETTY THEFT,04/03/2025 07:00:00 AM,25-014852,THEFT,30X,1407 70TH AV,Oakland,CA,POINT (-122.18938 37.76053)
PETTY THEFT,04/01/2025 12:00:00 AM,25-015053,THEFT,77X,UNKNOWN,Oakland,CA,
MISDEMEANOR ASSAULT,04/05/2025 06:20:00 AM,25-015113,BATTERY,33X,9712 D ST,Oakland,CA,POINT (-122.17602 37.74238)
STOLEN VEHICLE,04/05/2025 05:30:00 PM,25-015272,VEHICLE THEFT - AUTO,33X,1200 85TH AV,Oakland,CA,POINT (-122.18043 37.75181)
PETTY THEFT,04/09/2025 12:00:00 PM,25-015831,THEFT,77X,1131 WILLOW ST,Oakland,CA,POINT (-122.29786 37.81097)
VANDALISM,04/11/2025 03:42:00 AM,25-016085,VANDALISM:DEFACE PROPERTY,03Y,455 7TH ST,Oakland,CA,POINT (-122.27482 37.79975)
